n_bodies,time
2,21.522
2,21.550
2,21.560
2,21.595
2,21.253
2,10.688
2,10.731
2,10.835
2,10.689
2,11.437
6,17.681
6,17.652
6,13.356
6,13.379
6,13.360
6,13.329
6,13.265
6,13.310
6,13.241
6,11.315
1024,69.571
1024,31.435
1024,31.411
1024,31.439
1024,31.389
1024,31.400
1024,31.495
1024,31.361
1024,31.652
1024,31.367
4096,110.838
4096,110.730
4096,111.701
4096,114.260
4096,111.128
4096,110.827
4096,111.041
4096,111.911
4096,111.637
4096,111.108
16384,1467.664
16384,1468.590
16384,1472.976
16384,1475.791
16384,1480.177
16384,1482.070
16384,1483.402
16384,1484.976
16384,1486.866
16384,1488.210
65536,20323.795
65536,20537.297
65536,20742.688
65536,20821.982
65536,20912.576
65536,20975.537
65536,21034.592
65536,21070.594
65536,21095.199
65536,21098.881
